m49,VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
400,Geography and population,Land use,Cultivated area (arable land + permanent crops),Jordan,2018,279.8,1000 ha,X,false
400,Geography and population,Land use,Cultivated area (arable land + permanent crops),Jordan,2019,294.5,1000 ha,X,false
400,Geography and population,Land use,Cultivated area (arable land + permanent crops),Jordan,2020,287,1000 ha,X,false
400,Geography and population,Land use,Cultivated area (arable land + permanent crops),Jordan,2021,281,1000 ha,X,false
400,Geography and population,Land use,Cultivated area (arable land + permanent crops),Jordan,2022,300.5343,1000 ha,X,false
398,Geography and population,Land use,Cultivated area (arable land + permanent crops),Kazakhstan,2018,29880,1000 ha,X,false
398,Geography and population,Land use,Cultivated area (arable land + permanent crops),Kazakhstan,2019,29510.3,1000 ha,X,false
398,Geography and population,Land use,Cultivated area (arable land + permanent crops),Kazakhstan,2020,29685.2,1000 ha,X,false
398,Geography and population,Land use,Cultivated area (arable land + permanent crops),Kazakhstan,2021,29801.7,1000 ha,X,false
398,Geography and population,Land use,Cultivated area (arable land + permanent crops),Kazakhstan,2022,29801.7,1000 ha,X,false
404,Geography and population,Land use,Cultivated area (arable land + permanent crops),Kenya,2018,7256.6692,1000 ha,X,false
404,Geography and population,Land use,Cultivated area (arable land + permanent crops),Kenya,2019,7319.4215,1000 ha,X,false
404,Geography and population,Land use,Cultivated area (arable land + permanent crops),Kenya,2020,7073.3085,1000 ha,X,false
404,Geography and population,Land use,Cultivated area (arable land + permanent crops),Kenya,2021,7151.219,1000 ha,X,false
404,Geography and population,Land use,Cultivated area (arable land + permanent crops),Kenya,2022,7001.9798,1000 ha,X,false
296,Geography and population,Land use,Cultivated area (arable land + permanent crops),Kiribati,2018,34,1000 ha,X,false
296,Geography and population,Land use,Cultivated area (arable land + permanent crops),Kiribati,2019,34,1000 ha,X,false
296,Geography and population,Land use,Cultivated area (arable land + permanent crops),Kiribati,2020,34,1000 ha,X,false
296,Geography and population,Land use,Cultivated area (arable land + permanent crops),Kiribati,2021,34,1000 ha,X,false
296,Geography and population,Land use,Cultivated area (arable land + permanent crops),Kiribati,2022,34,1000 ha,X,false
414,Geography and population,Land use,Cultivated area (arable land + permanent crops),Kuwait,2018,14,1000 ha,X,false
414,Geography and population,Land use,Cultivated area (arable land + permanent crops),Kuwait,2019,14,1000 ha,X,false
414,Geography and population,Land use,Cultivated area (arable land + permanent crops),Kuwait,2020,14,1000 ha,X,false
414,Geography and population,Land use,Cultivated area (arable land + permanent crops),Kuwait,2021,14,1000 ha,X,false
414,Geography and population,Land use,Cultivated area (arable land + permanent crops),Kuwait,2022,14,1000 ha,X,false
417,Geography and population,Land use,Cultivated area (arable land + permanent crops),Kyrgyzstan,2018,1365,1000 ha,X,false
417,Geography and population,Land use,Cultivated area (arable land + permanent crops),Kyrgyzstan,2019,1364,1000 ha,X,false
417,Geography and population,Land use,Cultivated area (arable land + permanent crops),Kyrgyzstan,2020,1364.1,1000 ha,X,false
417,Geography and population,Land use,Cultivated area (arable land + permanent crops),Kyrgyzstan,2021,1364.1,1000 ha,X,false
417,Geography and population,Land use,Cultivated area (arable land + permanent crops),Kyrgyzstan,2022,1363.5,1000 ha,X,false
432,Geography and population,Land use,Cultivated area (arable land + permanent crops),Land Locked Developing Countries,2018,152308.6358,1000 ha,E,true
432,Geography and population,Land use,Cultivated area (arable land + permanent crops),Land Locked Developing Countries,2019,152771.6688,1000 ha,E,true
432,Geography and population,Land use,Cultivated area (arable land + permanent crops),Land Locked Developing Countries,2020,153945.0805,1000 ha,E,true
432,Geography and population,Land use,Cultivated area (arable land + permanent crops),Land Locked Developing Countries,2021,154906.5518,1000 ha,E,true
432,Geography and population,Land use,Cultivated area (arable land + permanent crops),Land Locked Developing Countries,2022,155243.2124,1000 ha,E,true
418,Geography and population,Land use,Cultivated area (arable land + permanent crops),Lao People's Democratic Republic,2018,1635.461,1000 ha,X,false
418,Geography and population,Land use,Cultivated area (arable land + permanent crops),Lao People's Democratic Republic,2019,1576.85,1000 ha,X,false
418,Geography and population,Land use,Cultivated area (arable land + permanent crops),Lao People's Democratic Republic,2020,1520.775,1000 ha,X,false
418,Geography and population,Land use,Cultivated area (arable land + permanent crops),Lao People's Democratic Republic,2021,1519.743,1000 ha,X,false
418,Geography and population,Land use,Cultivated area (arable land + permanent crops),Lao People's Democratic Republic,2022,1574.038,1000 ha,X,false
419,Geography and population,Land use,Cultivated area (arable land + permanent crops),Latin America and the Caribbean,2018,172657.5028,1000 ha,E,true
419,Geography and population,Land use,Cultivated area (arable land + permanent crops),Latin America and the Caribbean,2019,172897.0683,1000 ha,E,true
419,Geography and population,Land use,Cultivated area (arable land + permanent crops),Latin America and the Caribbean,2020,175347.6483,1000 ha,E,true
419,Geography and population,Land use,Cultivated area (arable land + permanent crops),Latin America and the Caribbean,2021,176578.3358,1000 ha,E,true
419,Geography and population,Land use,Cultivated area (arable land + permanent crops),Latin America and the Caribbean,2022,176067.03,1000 ha,E,true
428,Geography and population,Land use,Cultivated area (arable land + permanent crops),Latvia,2018,1303,1000 ha,X,false
428,Geography and population,Land use,Cultivated area (arable land + permanent crops),Latvia,2019,1328,1000 ha,X,false
428,Geography and population,Land use,Cultivated area (arable land + permanent crops),Latvia,2020,1343,1000 ha,X,false
428,Geography and population,Land use,Cultivated area (arable land + permanent crops),Latvia,2021,1371,1000 ha,X,false
428,Geography and population,Land use,Cultivated area (arable land + permanent crops),Latvia,2022,1367,1000 ha,X,false
199,Geography and population,Land use,Cultivated area (arable land + permanent crops),Least Developed Countries,2018,212191.0549,1000 ha,E,true
199,Geography and population,Land use,Cultivated area (arable land + permanent crops),Least Developed Countries,2019,213770.7441,1000 ha,E,true
199,Geography and population,Land use,Cultivated area (arable land + permanent crops),Least Developed Countries,2020,215128.4316,1000 ha,E,true
199,Geography and population,Land use,Cultivated area (arable land + permanent crops),Least Developed Countries,2021,216844.5849,1000 ha,E,true
199,Geography and population,Land use,Cultivated area (arable land + permanent crops),Least Developed Countries,2022,217965.0129,1000 ha,E,true
422,Geography and population,Land use,Cultivated area (arable land + permanent crops),Lebanon,2018,271.55,1000 ha,X,false
422,Geography and population,Land use,Cultivated area (arable land + permanent crops),Lebanon,2019,271.3,1000 ha,X,false
422,Geography and population,Land use,Cultivated area (arable land + permanent crops),Lebanon,2020,277.3,1000 ha,X,false
422,Geography and population,Land use,Cultivated area (arable land + permanent crops),Lebanon,2021,279.3,1000 ha,X,false
422,Geography and population,Land use,Cultivated area (arable land + permanent crops),Lebanon,2022,279.3,1000 ha,X,false
426,Geography and population,Land use,Cultivated area (arable land + permanent crops),Lesotho,2018,433.3,1000 ha,X,false
426,Geography and population,Land use,Cultivated area (arable land + permanent crops),Lesotho,2019,433,1000 ha,X,false
426,Geography and population,Land use,Cultivated area (arable land + permanent crops),Lesotho,2020,433,1000 ha,X,false
426,Geography and population,Land use,Cultivated area (arable land + permanent crops),Lesotho,2021,433,1000 ha,X,false
426,Geography and population,Land use,Cultivated area (arable land + permanent crops),Lesotho,2022,433,1000 ha,X,false
430,Geography and population,Land use,Cultivated area (arable land + permanent crops),Liberia,2018,700,1000 ha,X,false
430,Geography and population,Land use,Cultivated area (arable land + permanent crops),Liberia,2019,700,1000 ha,X,false
430,Geography and population,Land use,Cultivated area (arable land + permanent crops),Liberia,2020,700,1000 ha,X,false
430,Geography and population,Land use,Cultivated area (arable land + permanent crops),Liberia,2021,700,1000 ha,X,false
430,Geography and population,Land use,Cultivated area (arable land + permanent crops),Liberia,2022,700,1000 ha,X,false
434,Geography and population,Land use,Cultivated area (arable land + permanent crops),Libya,2018,2050,1000 ha,X,false
434,Geography and population,Land use,Cultivated area (arable land + permanent crops),Libya,2019,2050,1000 ha,X,false
434,Geography and population,Land use,Cultivated area (arable land + permanent crops),Libya,2020,2050,1000 ha,X,false
434,Geography and population,Land use,Cultivated area (arable land + permanent crops),Libya,2021,2050,1000 ha,X,false
434,Geography and population,Land use,Cultivated area (arable land + permanent crops),Libya,2022,2050,1000 ha,X,false
438,Geography and population,Land use,Cultivated area (arable land + permanent crops),Liechtenstein,2018,1.74,1000 ha,X,false
438,Geography and population,Land use,Cultivated area (arable land + permanent crops),Liechtenstein,2019,1.73,1000 ha,X,false
438,Geography and population,Land use,Cultivated area (arable land + permanent crops),Liechtenstein,2020,1.73,1000 ha,X,false
438,Geography and population,Land use,Cultivated area (arable land + permanent crops),Liechtenstein,2021,1.73,1000 ha,X,false
438,Geography and population,Land use,Cultivated area (arable land + permanent crops),Liechtenstein,2022,1.73,1000 ha,X,false
440,Geography and population,Land use,Cultivated area (arable land + permanent crops),Lithuania,2018,2151,1000 ha,X,false
440,Geography and population,Land use,Cultivated area (arable land + permanent crops),Lithuania,2019,2247,1000 ha,X,false
440,Geography and population,Land use,Cultivated area (arable land + permanent crops),Lithuania,2020,2284.8,1000 ha,X,false
440,Geography and population,Land use,Cultivated area (arable land + permanent crops),Lithuania,2021,2315.2,1000 ha,X,false
440,Geography and population,Land use,Cultivated area (arable land + permanent crops),Lithuania,2022,2328.3,1000 ha,X,false
442,Geography and population,Land use,Cultivated area (arable land + permanent crops),Luxembourg,2018,63.676,1000 ha,X,false
442,Geography and population,Land use,Cultivated area (arable land + permanent crops),Luxembourg,2019,63.515,1000 ha,X,false
442,Geography and population,Land use,Cultivated area (arable land + permanent crops),Luxembourg,2020,63.685,1000 ha,X,false
442,Geography and population,Land use,Cultivated area (arable land + permanent crops),Luxembourg,2021,64.03,1000 ha,X,false
442,Geography and population,Land use,Cultivated area (arable land + permanent crops),Luxembourg,2022,63.515,1000 ha,X,false
450,Geography and population,Land use,Cultivated area (arable land + permanent crops),Madagascar,2018,3600,1000 ha,X,false
450,Geography and population,Land use,Cultivated area (arable land + permanent crops),Madagascar,2019,3600,1000 ha,X,false
450,Geography and population,Land use,Cultivated area (arable land + permanent crops),Madagascar,2020,3600,1000 ha,X,false
450,Geography and population,Land use,Cultivated area (arable land + permanent crops),Madagascar,2021,3600,1000 ha,X,false
450,Geography and population,Land use,Cultivated area (arable land + permanent crops),Madagascar,2022,3600,1000 ha,X,false
454,Geography and population,Land use,Cultivated area (arable land + permanent crops),Malawi,2018,4023,1000 ha,X,false
454,Geography and population,Land use,Cultivated area (arable land + permanent crops),Malawi,2019,4078,1000 ha,X,false
454,Geography and population,Land use,Cultivated area (arable land + permanent crops),Malawi,2020,4134,1000 ha,X,false
454,Geography and population,Land use,Cultivated area (arable land + permanent crops),Malawi,2021,4200,1000 ha,X,false
454,Geography and population,Land use,Cultivated area (arable land + permanent crops),Malawi,2022,4200,1000 ha,X,false
458,Geography and population,Land use,Cultivated area (arable land + permanent crops),Malaysia,2018,8285.31,1000 ha,X,false
458,Geography and population,Land use,Cultivated area (arable land + permanent crops),Malaysia,2019,8285.31,1000 ha,X,false
458,Geography and population,Land use,Cultivated area (arable land + permanent crops),Malaysia,2020,8285.31,1000 ha,X,false
458,Geography and population,Land use,Cultivated area (arable land + permanent crops),Malaysia,2021,8285.31,1000 ha,X,false
458,Geography and population,Land use,Cultivated area (arable land + permanent crops),Malaysia,2022,8285.31,1000 ha,X,false
462,Geography and population,Land use,Cultivated area (arable land + permanent crops),Maldives,2018,5.4,1000 ha,X,false
462,Geography and population,Land use,Cultivated area (arable land + permanent crops),Maldives,2019,5.4,1000 ha,X,false
462,Geography and population,Land use,Cultivated area (arable land + permanent crops),Maldives,2020,5.4,1000 ha,X,false
462,Geography and population,Land use,Cultivated area (arable land + permanent crops),Maldives,2021,4.9,1000 ha,X,false
462,Geography and population,Land use,Cultivated area (arable land + permanent crops),Maldives,2022,4.9,1000 ha,X,false
466,Geography and population,Land use,Cultivated area (arable land + permanent crops),Mali,2018,7958.8366,1000 ha,X,false
466,Geography and population,Land use,Cultivated area (arable land + permanent crops),Mali,2019,8175.0378,1000 ha,X,false
466,Geography and population,Land use,Cultivated area (arable land + permanent crops),Mali,2020,8368.8652,1000 ha,X,false
466,Geography and population,Land use,Cultivated area (arable land + permanent crops),Mali,2021,8594.708,1000 ha,X,false
466,Geography and population,Land use,Cultivated area (arable land + permanent crops),Mali,2022,8634.1115,1000 ha,X,false
470,Geography and population,Land use,Cultivated area (arable land + permanent crops),Malta,2018,10.38,1000 ha,X,false
470,Geography and population,Land use,Cultivated area (arable land + permanent crops),Malta,2019,10.38,1000 ha,X,false
470,Geography and population,Land use,Cultivated area (arable land + permanent crops),Malta,2020,9.11,1000 ha,X,false
470,Geography and population,Land use,Cultivated area (arable land + permanent crops),Malta,2021,8.75,1000 ha,X,false
470,Geography and population,Land use,Cultivated area (arable land + permanent crops),Malta,2022,8.75,1000 ha,X,false
584,Geography and population,Land use,Cultivated area (arable land + permanent crops),Marshall Islands,2018,7,1000 ha,X,false
584,Geography and population,Land use,Cultivated area (arable land + permanent crops),Marshall Islands,2019,7,1000 ha,X,false
584,Geography and population,Land use,Cultivated area (arable land + permanent crops),Marshall Islands,2020,7,1000 ha,X,false
584,Geography and population,Land use,Cultivated area (arable land + permanent crops),Marshall Islands,2021,7,1000 ha,X,false
584,Geography and population,Land use,Cultivated area (arable land + permanent crops),Marshall Islands,2022,7,1000 ha,X,false
478,Geography and population,Land use,Cultivated area (arable land + permanent crops),Mauritania,2018,460,1000 ha,X,false
478,Geography and population,Land use,Cultivated area (arable land + permanent crops),Mauritania,2019,460,1000 ha,X,false
478,Geography and population,Land use,Cultivated area (arable land + permanent crops),Mauritania,2020,460,1000 ha,X,false
478,Geography and population,Land use,Cultivated area (arable land + permanent crops),Mauritania,2021,460,1000 ha,X,false
478,Geography and population,Land use,Cultivated area (arable land + permanent crops),Mauritania,2022,460,1000 ha,X,false
480,Geography and population,Land use,Cultivated area (arable land + permanent crops),Mauritius,2018,79,1000 ha,X,false
480,Geography and population,Land use,Cultivated area (arable land + permanent crops),Mauritius,2019,79,1000 ha,X,false
480,Geography and population,Land use,Cultivated area (arable land + permanent crops),Mauritius,2020,79,1000 ha,X,false
480,Geography and population,Land use,Cultivated area (arable land + permanent crops),Mauritius,2021,79,1000 ha,X,false
480,Geography and population,Land use,Cultivated area (arable land + permanent crops),Mauritius,2022,79,1000 ha,X,false
484,Geography and population,Land use,Cultivated area (arable land + permanent crops),Mexico,2018,22607,1000 ha,X,false
484,Geography and population,Land use,Cultivated area (arable land + permanent crops),Mexico,2019,22129,1000 ha,X,false
484,Geography and population,Land use,Cultivated area (arable land + permanent crops),Mexico,2020,22869,1000 ha,X,false
484,Geography and population,Land use,Cultivated area (arable land + permanent crops),Mexico,2021,22899,1000 ha,X,false
484,Geography and population,Land use,Cultivated area (arable land + permanent crops),Mexico,2022,21911,1000 ha,X,false
583,Geography and population,Land use,Cultivated area (arable land + permanent crops),Micronesia (Federated States of),2018,2,1000 ha,X,false
583,Geography and population,Land use,Cultivated area (arable land + permanent crops),Micronesia (Federated States of),2019,2,1000 ha,X,false
583,Geography and population,Land use,Cultivated area (arable land + permanent crops),Micronesia (Federated States of),2020,2,1000 ha,X,false
583,Geography and population,Land use,Cultivated area (arable land + permanent crops),Micronesia (Federated States of),2021,2,1000 ha,X,false
583,Geography and population,Land use,Cultivated area (arable land + permanent crops),Micronesia (Federated States of),2022,2,1000 ha,X,false
496,Geography and population,Land use,Cultivated area (arable land + permanent crops),Mongolia,2018,1332.4,1000 ha,X,false
496,Geography and population,Land use,Cultivated area (arable land + permanent crops),Mongolia,2019,1117.2,1000 ha,X,false
496,Geography and population,Land use,Cultivated area (arable land + permanent crops),Mongolia,2020,1127.5,1000 ha,X,false
496,Geography and population,Land use,Cultivated area (arable land + permanent crops),Mongolia,2021,1126.1695,1000 ha,X,false
496,Geography and population,Land use,Cultivated area (arable land + permanent crops),Mongolia,2022,1139.8768,1000 ha,X,false
499,Geography and population,Land use,Cultivated area (arable land + permanent crops),Montenegro,2018,14.6,1000 ha,X,false
499,Geography and population,Land use,Cultivated area (arable land + permanent crops),Montenegro,2019,15,1000 ha,X,false
499,Geography and population,Land use,Cultivated area (arable land + permanent crops),Montenegro,2020,14.65,1000 ha,X,false
499,Geography and population,Land use,Cultivated area (arable land + permanent crops),Montenegro,2021,14.4,1000 ha,X,false
499,Geography and population,Land use,Cultivated area (arable land + permanent crops),Montenegro,2022,14,1000 ha,X,false
504,Geography and population,Land use,Cultivated area (arable land + permanent crops),Morocco,2018,9525.8072,1000 ha,X,false
504,Geography and population,Land use,Cultivated area (arable land + permanent crops),Morocco,2019,8611.907,1000 ha,X,false
504,Geography and population,Land use,Cultivated area (arable land + permanent crops),Morocco,2020,9358,1000 ha,X,false
504,Geography and population,Land use,Cultivated area (arable land + permanent crops),Morocco,2021,9291,1000 ha,X,false
504,Geography and population,Land use,Cultivated area (arable land + permanent crops),Morocco,2022,9291,1000 ha,X,false
508,Geography and population,Land use,Cultivated area (arable land + permanent crops),Mozambique,2018,5950,1000 ha,X,false
508,Geography and population,Land use,Cultivated area (arable land + permanent crops),Mozambique,2019,5950,1000 ha,X,false
508,Geography and population,Land use,Cultivated area (arable land + permanent crops),Mozambique,2020,5950,1000 ha,X,false
508,Geography and population,Land use,Cultivated area (arable land + permanent crops),Mozambique,2021,5950,1000 ha,X,false
508,Geography and population,Land use,Cultivated area (arable land + permanent crops),Mozambique,2022,5950,1000 ha,X,false
104,Geography and population,Land use,Cultivated area (arable land + permanent crops),Myanmar,2018,12590.3,1000 ha,X,false
104,Geography and population,Land use,Cultivated area (arable land + permanent crops),Myanmar,2019,12500.4,1000 ha,X,false
104,Geography and population,Land use,Cultivated area (arable land + permanent crops),Myanmar,2020,12500,1000 ha,X,false
104,Geography and population,Land use,Cultivated area (arable land + permanent crops),Myanmar,2021,12500,1000 ha,X,false
104,Geography and population,Land use,Cultivated area (arable land + permanent crops),Myanmar,2022,12500,1000 ha,X,false
516,Geography and population,Land use,Cultivated area (arable land + permanent crops),Namibia,2018,811,1000 ha,X,false
516,Geography and population,Land use,Cultivated area (arable land + permanent crops),Namibia,2019,811,1000 ha,X,false
516,Geography and population,Land use,Cultivated area (arable land + permanent crops),Namibia,2020,811,1000 ha,X,false
516,Geography and population,Land use,Cultivated area (arable land + permanent crops),Namibia,2021,812,1000 ha,X,false
516,Geography and population,Land use,Cultivated area (arable land + permanent crops),Namibia,2022,812,1000 ha,X,false
520,Geography and population,Land use,Cultivated area (arable land + permanent crops),Nauru,2018,0.4,1000 ha,X,false
520,Geography and population,Land use,Cultivated area (arable land + permanent crops),Nauru,2019,0.4,1000 ha,X,false
520,Geography and population,Land use,Cultivated area (arable land + permanent crops),Nauru,2020,0.4,1000 ha,X,false
520,Geography and population,Land use,Cultivated area (arable land + permanent crops),Nauru,2021,0.4,1000 ha,X,false
520,Geography and population,Land use,Cultivated area (arable land + permanent crops),Nauru,2022,0.4,1000 ha,X,false
524,Geography and population,Land use,Cultivated area (arable land + permanent crops),Nepal,2018,2071.3261,1000 ha,X,false
524,Geography and population,Land use,Cultivated area (arable land + permanent crops),Nepal,2019,2042.8798,1000 ha,X,false
524,Geography and population,Land use,Cultivated area (arable land + permanent crops),Nepal,2020,2003.6328,1000 ha,X,false
524,Geography and population,Land use,Cultivated area (arable land + permanent crops),Nepal,2021,1977.6584,1000 ha,X,false
524,Geography and population,Land use,Cultivated area (arable land + permanent crops),Nepal,2022,1949.2,1000 ha,X,false
528,Geography and population,Land use,Cultivated area (arable land + permanent crops),Netherlands (Kingdom of the),2018,1059,1000 ha,X,false
528,Geography and population,Land use,Cultivated area (arable land + permanent crops),Netherlands (Kingdom of the),2019,1048.8,1000 ha,X,false
528,Geography and population,Land use,Cultivated area (arable land + permanent crops),Netherlands (Kingdom of the),2020,1042.04,1000 ha,X,false
528,Geography and population,Land use,Cultivated area (arable land + permanent crops),Netherlands (Kingdom of the),2021,1040,1000 ha,X,false
528,Geography and population,Land use,Cultivated area (arable land + permanent crops),Netherlands (Kingdom of the),2022,1042,1000 ha,X,false
554,Geography and population,Land use,Cultivated area (arable land + permanent crops),New Zealand,2018,589,1000 ha,X,false
554,Geography and population,Land use,Cultivated area (arable land + permanent crops),New Zealand,2019,620,1000 ha,X,false
554,Geography and population,Land use,Cultivated area (arable land + permanent crops),New Zealand,2020,601,1000 ha,X,false
554,Geography and population,Land use,Cultivated area (arable land + permanent crops),New Zealand,2021,690,1000 ha,X,false
554,Geography and population,Land use,Cultivated area (arable land + permanent crops),New Zealand,2022,605,1000 ha,X,false
558,Geography and population,Land use,Cultivated area (arable land + permanent crops),Nicaragua,2018,1799,1000 ha,X,false
558,Geography and population,Land use,Cultivated area (arable land + permanent crops),Nicaragua,2019,1799,1000 ha,X,false
558,Geography and population,Land use,Cultivated area (arable land + permanent crops),Nicaragua,2020,1799,1000 ha,X,false
558,Geography and population,Land use,Cultivated area (arable land + permanent crops),Nicaragua,2021,1799,1000 ha,X,false
558,Geography and population,Land use,Cultivated area (arable land + permanent crops),Nicaragua,2022,1799,1000 ha,X,false
562,Geography and population,Land use,Cultivated area (arable land + permanent crops),Niger,2018,17813,1000 ha,X,false
562,Geography and population,Land use,Cultivated area (arable land + permanent crops),Niger,2019,17813,1000 ha,X,false
562,Geography and population,Land use,Cultivated area (arable land + permanent crops),Niger,2020,17813,1000 ha,X,false
562,Geography and population,Land use,Cultivated area (arable land + permanent crops),Niger,2021,17813,1000 ha,X,false
562,Geography and population,Land use,Cultivated area (arable land + permanent crops),Niger,2022,17813,1000 ha,X,false
566,Geography and population,Land use,Cultivated area (arable land + permanent crops),Nigeria,2018,43079.9711,1000 ha,X,false
566,Geography and population,Land use,Cultivated area (arable land + permanent crops),Nigeria,2019,43487.7431,1000 ha,X,false
566,Geography and population,Land use,Cultivated area (arable land + permanent crops),Nigeria,2020,43842.1084,1000 ha,X,false
566,Geography and population,Land use,Cultivated area (arable land + permanent crops),Nigeria,2021,44581.5974,1000 ha,X,false
566,Geography and population,Land use,Cultivated area (arable land + permanent crops),Nigeria,2022,44636.2463,1000 ha,X,false
570,Geography and population,Land use,Cultivated area (arable land + permanent crops),Niue,2018,3.8,1000 ha,X,false
570,Geography and population,Land use,Cultivated area (arable land + permanent crops),Niue,2019,3.8,1000 ha,X,false
570,Geography and population,Land use,Cultivated area (arable land + permanent crops),Niue,2020,3.8,1000 ha,X,false
570,Geography and population,Land use,Cultivated area (arable land + permanent crops),Niue,2021,3.8,1000 ha,X,false
570,Geography and population,Land use,Cultivated area (arable land + permanent crops),Niue,2022,3.8,1000 ha,X,false
807,Geography and population,Land use,Cultivated area (arable land + permanent crops),North Macedonia,2018,459,1000 ha,X,false
807,Geography and population,Land use,Cultivated area (arable land + permanent crops),North Macedonia,2019,460,1000 ha,X,false
807,Geography and population,Land use,Cultivated area (arable land + permanent crops),North Macedonia,2020,457,1000 ha,X,false
807,Geography and population,Land use,Cultivated area (arable land + permanent crops),North Macedonia,2021,458,1000 ha,X,false
807,Geography and population,Land use,Cultivated area (arable land + permanent crops),North Macedonia,2022,456,1000 ha,X,false
15,Geography and population,Land use,Cultivated area (arable land + permanent crops),Northern Africa,2018,50100.6458,1000 ha,E,true
15,Geography and population,Land use,Cultivated area (arable land + permanent crops),Northern Africa,2019,49258.818,1000 ha,E,true
15,Geography and population,Land use,Cultivated area (arable land + permanent crops),Northern Africa,2020,50025.731,1000 ha,E,true
15,Geography and population,Land use,Cultivated area (arable land + permanent crops),Northern Africa,2021,50007.877,1000 ha,E,true
15,Geography and population,Land use,Cultivated area (arable land + permanent crops),Northern Africa,2022,50067.961,1000 ha,E,true
747,Geography and population,Land use,Cultivated area (arable land + permanent crops),Northern Africa and Western Asia,2018,94263.0131,1000 ha,E,true
747,Geography and population,Land use,Cultivated area (arable land + permanent crops),Northern Africa and Western Asia,2019,93383.4083,1000 ha,E,true
747,Geography and population,Land use,Cultivated area (arable land + permanent crops),Northern Africa and Western Asia,2020,94237.2896,1000 ha,E,true
747,Geography and population,Land use,Cultivated area (arable land + permanent crops),Northern Africa and Western Asia,2021,94408.1405,1000 ha,E,true
747,Geography and population,Land use,Cultivated area (arable land + permanent crops),Northern Africa and Western Asia,2022,94773.7964,1000 ha,E,true
21,Geography and population,Land use,Cultivated area (arable land + permanent crops),Northern America,2018,198159.663,1000 ha,E,true
21,Geography and population,Land use,Cultivated area (arable land + permanent crops),Northern America,2019,196975.2259,1000 ha,E,true
21,Geography and population,Land use,Cultivated area (arable land + permanent crops),Northern America,2020,195421.7889,1000 ha,E,true
21,Geography and population,Land use,Cultivated area (arable land + permanent crops),Northern America,2021,194312.3519,1000 ha,E,true
21,Geography and population,Land use,Cultivated area (arable land + permanent crops),Northern America,2022,193258.9148,1000 ha,E,true
578,Geography and population,Land use,Cultivated area (arable land + permanent crops),Norway,2018,806.283,1000 ha,X,false
578,Geography and population,Land use,Cultivated area (arable land + permanent crops),Norway,2019,805.146,1000 ha,X,false
578,Geography and population,Land use,Cultivated area (arable land + permanent crops),Norway,2020,807.663,1000 ha,X,false
578,Geography and population,Land use,Cultivated area (arable land + permanent crops),Norway,2021,807,1000 ha,X,false
578,Geography and population,Land use,Cultivated area (arable land + permanent crops),Norway,2022,807,1000 ha,X,false
9,Geography and population,Land use,Cultivated area (arable land + permanent crops),Oceania,2018,33693.83,1000 ha,E,true
9,Geography and population,Land use,Cultivated area (arable land + permanent crops),Oceania,2019,33333.81,1000 ha,E,true
9,Geography and population,Land use,Cultivated area (arable land + permanent crops),Oceania,2020,33390.64,1000 ha,E,true
9,Geography and population,Land use,Cultivated area (arable land + permanent crops),Oceania,2021,34133.67,1000 ha,E,true
9,Geography and population,Land use,Cultivated area (arable land + permanent crops),Oceania,2022,34048.67,1000 ha,E,true
543,Geography and population,Land use,Cultivated area (arable land + permanent crops),Oceania (excluding Australia and New Zealand),2018,1798.83,1000 ha,E,true
543,Geography and population,Land use,Cultivated area (arable land + permanent crops),Oceania (excluding Australia and New Zealand),2019,1793.81,1000 ha,E,true
543,Geography and population,Land use,Cultivated area (arable land + permanent crops),Oceania (excluding Australia and New Zealand),2020,1793.64,1000 ha,E,true
543,Geography and population,Land use,Cultivated area (arable land + permanent crops),Oceania (excluding Australia and New Zealand),2021,1793.67,1000 ha,E,true
543,Geography and population,Land use,Cultivated area (arable land + permanent crops),Oceania (excluding Australia and New Zealand),2022,1793.67,1000 ha,E,true
512,Geography and population,Land use,Cultivated area (arable land + permanent crops),Oman,2018,108.89,1000 ha,X,false
512,Geography and population,Land use,Cultivated area (arable land + permanent crops),Oman,2019,108.89,1000 ha,X,false
512,Geography and population,Land use,Cultivated area (arable land + permanent crops),Oman,2020,110.4,1000 ha,X,false
512,Geography and population,Land use,Cultivated area (arable land + permanent crops),Oman,2021,107.93,1000 ha,X,false
512,Geography and population,Land use,Cultivated area (arable land + permanent crops),Oman,2022,116.22,1000 ha,X,false
586,Geography and population,Land use,Cultivated area (arable land + permanent crops),Pakistan,2018,31953,1000 ha,X,false
586,Geography and population,Land use,Cultivated area (arable land + permanent crops),Pakistan,2019,31274,1000 ha,X,false
586,Geography and population,Land use,Cultivated area (arable land + permanent crops),Pakistan,2020,31673,1000 ha,X,false
586,Geography and population,Land use,Cultivated area (arable land + permanent crops),Pakistan,2021,31014,1000 ha,X,false
586,Geography and population,Land use,Cultivated area (arable land + permanent crops),Pakistan,2022,30947,1000 ha,X,false
585,Geography and population,Land use,Cultivated area (arable land + permanent crops),Palau,2018,2.3,1000 ha,X,false
585,Geography and population,Land use,Cultivated area (arable land + permanent crops),Palau,2019,2.3,1000 ha,X,false
585,Geography and population,Land use,Cultivated area (arable land + permanent crops),Palau,2020,2.3,1000 ha,X,false
585,Geography and population,Land use,Cultivated area (arable land + permanent crops),Palau,2021,2.3,1000 ha,X,false
585,Geography and population,Land use,Cultivated area (arable land + permanent crops),Palau,2022,2.3,1000 ha,X,false
